,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
6,7,6,11,ドーブネ,牡2,55.0,吉田 隼人,1:34.5,3,12-9,35.3,480,+12,武 幸四郎,5
7,8,5,8,,牡2,55.0,M.デムーロ,1:34.6,1/2,3-3,35.9,490,+2,須貝 尚介,6
8,9,8,14,トゥードジボン,牡2,55.0,藤岡 佑介,1:34.7,1/2,2-2,36.3,476,+4,四位 洋文,13
9,10,6,10,スプリットザシー,牝2,54.0,和田 竜二,1:34.7,クビ,10-9,35.5,394,+2,西村 真幸,12
10,11,3,5,ヴィアドロローサ,牡2,55.0,鮫島 克駿,1:35.0,1 3/4,10-13,35.6,446,0,加藤 征弘,10
11,12,4,6,オタルエバー,牡2,55.0,幸 英明,1:35.0,クビ,5-5,36.2,456,-6,中竹 和也,7
12,13,2,2,セッカチケーン,牡2,55.0,団野 大成,1:35.1,クビ,5-7,36.1,500,-2,高柳 瑞樹,14
13,14,1,1,カジュフェイス,牡2,55.0,秋山 真一郎,1:35.4,1 1/2,1-1,37.1,484,+8,森田 直行,11
14,15,8,15,シンリミテス,牡2,55.0,国分 優作,1:37.4,大差,15-15,37.6,480,+2,大根田 裕之,15
0,1,7,13,,牡6,56.0,福永 祐一,1:08.3,,10-9,33.6,498,0,野中 賢二,4
1,2,1,2,ライトオンキュー,牡6,57.5,古川 吉洋,1:08.5,1 1/4,5-4,34.1,506,-6,昆 貢,3
2,3,6,12,ラウダシオン,牡4,57.0,M.デムーロ,1:08.5,アタマ,4-4,34.2,512,0,斉藤 崇史,2
3,4,6,11,,牝6,54.0,団野 大成,1:08.6,3/4,8-9,33.9,470,+4,高野 友和,10
4,5,2,4,セイウンコウセイ,牡8,58.0,幸 英明,1:08.8,1 1/4,3-3,34.8,500,0,上原 博之,15
5,6,5,10,,せん6,55.0,藤岡 佑介,1:08.8,ハナ,14-15,33.7,522,+4,鹿戸 雄一,12
6,7,5,9,ヴェスターヴァルト,牡4,55.0,富田 暁,1:08.8,ハナ,5-6,34.3,472,+2,加藤 征弘,7
7,8,1,1,ザイツィンガー,牡5,55.0,和田 竜二,1:08.9,1/2,14-12,34.0,434,-4,牧田 和弥,17
8,9,3,5,ラヴィングアンサー,牡7,57.0,吉田 豊,1:09.0,クビ,16-17,33.8,512,+2,石坂 正,11
9,10,8,17,タイセイアベニール,牡6,56.0,松山 弘平,1:09.0,アタマ,17-15,33.9,496,-2,西村 真幸,13
10,11,2,3,コントラチェック,牝5,55.0,池添 謙一,1:09.0,ハナ,10-9,34.2,474,-4,藤沢 和雄,9
11,12,4,8,プリモシーン,牝6,56.0,岩田 望来,1:09.0,ハナ,12-12,34.1,512,+2,木村 哲也,14
12,13,3,6,カイザーメランジェ,牡6,55.0,太宰 啓介,1:09.1,3/4,8-8,34.5,494,0,中野 栄治,18
13,14,4,7,エイティーンガール,牝5,55.0,坂井 瑠星,1:09.2,クビ,17-17,34.0,454,+6,飯田 祐史,8
14,15,7,14,トゥラヴェスーラ,牡6,56.0,岩田 康誠,1:09.2,クビ,5-6,34.7,482,-2,高橋 康之,5
15,16,8,18,クリノガウディー,牡5,58.0,鮫島 克駿,1:09.6,2,2-2,35.7,502,0,藤沢 則雄,6
16,17,7,15,モズスーパーフレア,牝6,56.5,北村 友一,1:09.7,1,1-1,36.0,500,+5,音無 秀孝,1
17,18,8,16,ミッキースピリット,牡5,54.0,松若 風馬,1:10.0,1 1/2,12-14,35.0,490,-6,音無 秀孝,16
0,1,5,10,ヨーホーレイク,牡4,55.0,川田 将雅,2:11.7,,9-9-9-9,34.4,508,+4,友道 康夫,3
1,2,2,4,ステラヴェローチェ,牡4,57.0,M.デムーロ,2:11.8,3/4,4-6-8-8,34.7,498,0,須貝 尚介,1
2,3,3,6,ヤシャマル,牡5,54.0,松田 大作,2:12.3,3,7-7-4-4,35.3,516,+10,尾形 和幸,9
3,4,6,12,エフェクトオン,牡6,53.0,秋山 真一郎,2:12.4,クビ,12-12-12-12,34.9,448,0,久保田 貴士,13
4,5,4,7,アフリカンゴールド,せん7,55.0,国分 恭介,2:12.6,1 1/4,3-3-2-2,35.9,468,+4,西園 正都,12
5,6,2,3,マイネルウィルトス,牡6,56.0,川須 栄彦,2:12.7,1/2,8-7-4-4,35.8,482,+8,宮 徹,5
6,7,8,16,トラストケンシン,牡7,53.0,池添 謙一,2:12.8,3/4,10-10-11-9,35.5,474,+8,高橋 文雅,11
7,8,1,2,クラヴェル,牝5,54.0,横山 典弘,2:12.8,ハナ,14-14-14-14,34.9,452,-4,安田 翔伍,4
8,9,1,1,モズナガレボシ,牡5,55.0,松山 弘平,2:12.9,クビ,4-4-4-4,36.0,496,+4,荒川 義之,8
9,10,8,15,ダノンマジェスティ,牡7,55.0,岩田 望来,2:13.0,3/4,13-13-13-13,35.3,492,0,音無 秀孝,6
10,11,7,14,プレシャスブルー,牡8,55.0,勝浦 正樹,2:13.3,2,15-15-14-14,35.3,442,+8,相沢 郁,10
11,12,6,11,ショウナンバルディ,牡6,57.0,坂井 瑠星,2:13.5,3/4,2-2-2-2,36.8,458,+6,松下 武士,7
12,13,3,5,ロードマイウェイ,牡6,56.0,幸 英明,2:13.8,1 3/4,16-16-16-16,35.6,476,+2,杉山 晴紀,14
13,14,5,9,マイネルフラップ,牡6,53.0,国分 優作,2:13.8,アタマ,10-10-9-9,36.5,494,+2,梅田 智之,15
14,15,4,8,フライライクバード,牡5,55.0,武 豊,2:13.9,1,4-4-4-4,37.0,466,+8,友道 康夫,2
15,16,7,13,,牡6,55.0,和田 翼,2:15.1,7,1-1-1-1,38.5,478,+12,鈴木 孝志,16
0,1,2,4,テーオーケインズ,牡4,56.0,松若 風馬,1:49.0,,6-6-5-2,37.0,494,0,高柳 大輔,1
1,2,4,8,ヒストリーメイカー,牡7,56.0,内田 博幸,1:49.3,1 3/4,8-8-7-5,37.2,530,+2,新谷 功一,2
2,3,7,14,ロードブレス,牡5,58.0,幸 英明,1:49.6,2,9-10-11-8,37.2,512,+2,奥村 豊,6
3,4,5,9,,牡5,56.0,斎藤 新,1:49.8,1,9-10-9-5,37.6,510,-2,安田 隆行,8
4,5,1,2,アルドーレ,牡6,56.0,横山 典弘,1:50.0,1 1/4,16-16-15-16,37.2,500,0,昆 貢,12
5,6,6,12,ロードゴラッソ,牡6,56.0,岩田 康誠,1:50.0,クビ,15-15-15-13,37.4,470,-8,藤岡 健一,13
6,7,5,10,ミヤジコクオウ,牡4,56.0,和田 竜二,1:50.2,1 1/4,9-9-7-8,38.1,518,+2,川村 禎彦,15
7,8,2,3,レピアーウィット,牡6,57.0,石橋 脩,1:50.4,1,2-3-2-1,38.7,552,-12,堀 宣行,4
8,9,8,15,ケンシンコウ,牡4,57.0,丸山 元気,1:50.4,クビ,12-14-12-13,37.9,488,+4,小西 一男,11
9,10,7,13,レーヌブランシュ,牝4,55.0,団野 大成,1:50.6,3/4,12-12-12-8,38.3,470,+12,橋口 慎介,16
10,11,3,6,モズアトラクション,せん7,56.0,藤岡 康太,1:51.1,3,12-12-12-8,38.8,490,0,松下 武士,9
11,12,3,5,グリム,牡6,56.0,浜中 俊,1:51.1,クビ,5-5-5-4,39.2,508,-6,野中 賢二,5
12,13,8,16,ナムラカメタロー,牡5,56.0,石川 裕紀人,1:51.4,1 3/4,2-3-4-2,39.6,506,-4,稲垣 幸雄,7
13,14,1,1,ケイアイパープル,牡5,56.0,藤懸 貴志,1:53.6,大差,2-1-1-5,41.9,510,-10,村山 明,14
14,15,6,11,,牡4,56.0,国分 優作,1:53.7,クビ,1-2-2-12,41.9,488,-4,安達 昭夫,10
15,16,4,7,,せん7,57.0,藤岡 佑介,1:54.4,4,6-7-9-13,42.0,482,-1,高木 登,3
0,1,3,5,パンサラッサ,牡5,56.0,吉田 豊,1:46.4,,1-1-1-1,37.3,482,+2,矢作 芳人,2
1,2,6,11,カラテ,牡6,56.0,菅原 明良,1:46.8,2 1/2,11-11-10-9,36.0,534,0,高橋 祥泰,4
2,3,6,12,アドマイヤハダル,牡4,55.0,横山 武史,1:46.8,クビ,6-7-6-5,36.3,488,+2,大久保 龍志,3
3,4,2,3,ガロアクリーク,牡5,56.0,田辺 裕信,1:47.2,2,12-12-13-11,36.1,522,+12,上原 博之,8
4,5,4,7,ウインイクシード,牡8,56.0,松岡 正海,1:47.4,1 1/4,4-4-4-3,37.5,498,-2,鈴木 伸尋,6
5,6,2,4,ヒュミドール,せん6,56.0,M.デムーロ,1:47.7,1 1/2,13-14-13-13,36.5,472,+4,小手川 準,5
6,7,8,15,ダノンザキッド,牡4,55.0,川田 将雅,1:47.8,3/4,13-12-8-8,37.2,522,-6,安田 隆行,1
7,8,8,16,,せん5,56.0,田中 勝春,1:47.8,ハナ,15-15-15-15,36.3,460,-8,武 幸四郎,14
8,9,3,6,,せん6,56.0,木幡 育也,1:47.9,3/4,6-7-8-9,37.3,436,0,藤沢 和雄,12
9,10,7,14,コントラチェック,牝6,54.0,丸山 元気,1:48.0,クビ,4-4-4-2,38.1,478,+2,藤沢 和雄,7
10,11,7,13,ワールドリバイバル,牡4,55.0,津村 明秀,1:48.2,1 1/2,2-2-2-3,38.5,520,+8,牧田 和弥,13
11,12,4,8,マルターズディオサ,牝5,54.0,戸崎 圭太,1:48.3,3/4,6-6-6-5,37.8,454,+2,手塚 貴久,9
12,13,1,1,ソッサスブレイ,せん8,56.0,柴田 大知,1:48.6,1 3/4,9-9-12-13,37.6,454,-4,粕谷 昌央,16
13,14,5,10,ルフトシュトローム,牡5,56.0,石橋 脩,1:49.0,2 1/2,16-16-16-16,36.8,504,+4,堀 宣行,15
14,15,5,9,,せん7,56.0,北村 宏司,1:50.5,9,9-9-10-11,39.7,518,+2,藤沢 和雄,11
15,16,1,2,,牡6,56.0,西村 淳也,1:50.7,1 1/2,2-2-2-5,41.1,472,-4,小桧山 悟,10
0,1,2,3,メイケイエール,牝4,55.0,池添 謙一,1:08.1,,4-3,34.2,472,+2,武 英智,2
1,2,8,16,シャインガーネット,牝5,54.0,田辺 裕信,1:08.2,1,7-7,33.8,480,0,栗田 徹,7
2,3,5,10,ナランフレグ,牡6,56.0,丸田 恭介,1:08.3,クビ,15-15,33.3,494,+12,宗像 義忠,3
3,4,3,6,,牡6,54.0,太宰 啓介,1:08.3,クビ,13-14,33.5,506,+2,本間 忍,13
4,5,3,5,,牡7,56.0,幸 英明,1:08.4,1/2,13-13,33.7,508,+8,西村 真幸,8
5,6,7,13,エーポス,牝5,55.0,亀田 温心,1:08.4,クビ,9-11,33.8,466,-4,北出 成人,4
6,7,5,9,カレンモエ,牝6,55.0,松山 弘平,1:08.5,クビ,5-5,34.4,478,+8,安田 隆行,1
7,8,2,4,,せん7,55.0,団野 大成,1:08.6,1/2,15-15,33.7,520,-2,鹿戸 雄一,9
8,9,7,15,ビアンフェ,せん5,57.5,藤岡 佑介,1:08.7,3/4,1-1,35.1,562,-2,中竹 和也,6
9,10,1,2,,牡8,57.0,横山 典弘,1:08.7,ハナ,7-6,34.5,474,+4,昆 貢,10
10,11,1,1,,牡8,57.5,和田 竜二,1:08.7,ハナ,9-9,34.2,476,+4,庄野 靖志,11
11,12,6,11,レインボーフラッグ,牡9,53.0,藤井 勘一郎,1:08.9,1 1/4,18-17,33.7,470,+2,小崎 憲,14
12,13,8,17,,牡7,57.5,荻野 極,1:09.1,1 1/4,2-2,35.3,514,+8,池江 泰寿,5
13,14,4,8,ミッキーワイルド,牡7,56.0,柴山 雄一,1:09.2,3/4,15-17,34.0,510,-6,安田 隆行,16
14,15,8,18,サヴォワールエメ,牝6,53.0,酒井 学,1:09.4,1 1/4,2-3,35.5,466,0,辻野 泰之,12
15,16,6,12,レジェーロ,牝5,54.0,小崎 綾也,1:09.7,2,6-7,35.3,420,-6,西村 真幸,17
16,17,7,14,マイネルアルケミー,牡6,54.0,国分 優作,1:10.1,2 1/2,9-9,35.6,476,-8,中野 栄治,18
17,18,4,7,,牝6,51.0,川島 信二,1:10.3,1 1/4,9-11,35.7,474,-2,加藤 士津八,15
0,1,2,2,サンレイポケット,牡6,55.0,鮫島 克駿,1:59.3,,11-10,36.5,472,-8,高橋 義忠,3
1,2,6,10,ポタジェ,牡4,56.0,西村 淳也,1:59.3,クビ,7-7,36.9,464,0,友道 康夫,1
2,3,8,14,,牡6,55.0,秋山 真一郎,1:59.3,クビ,3-3,37.2,506,0,堀 宣行,7
3,4,3,4,トーセンスーリヤ,牡6,56.0,横山 和生,1:59.4,1/2,3-3,37.4,482,-2,小野 次郎,9
4,5,1,1,ボッケリーニ,牡5,57.0,吉田 隼人,1:59.6,1 1/4,5-5,37.4,472,+4,池江 泰寿,2
5,6,7,11,ダノンマジェスティ,牡6,55.0,和田 竜二,1:59.7,クビ,12-12,36.8,502,+4,音無 秀孝,5
6,7,4,5,ムイトオブリガード,牡7,57.0,酒井 学,1:59.7,アタマ,13-14,36.5,498,-2,角田 晃一,10
7,8,3,3,バスカヴィル,牡7,53.0,斎藤 新,1:59.9,1 1/2,2-2,38.0,486,+2,加藤 征弘,14
8,9,5,8,バイオスパーク,牡6,57.0,丸山 元気,2:00.0,クビ,5-5,37.7,478,+4,浜田 多実雄,11
9,10,6,9,,牡5,54.0,菅原 明良,2:00.0,クビ,7-7,37.5,476,-2,国枝 栄,6
10,11,4,6,ヒュミドール,せん5,55.0,吉田 豊,2:00.4,2 1/2,10-10,37.6,474,+8,小手川 準,4
11,12,7,12,ニシノデイジー,牡5,55.0,勝浦 正樹,2:01.4,6,7-7,38.8,486,-8,高木 登,12
12,13,5,7,ハッピーアワー,牡5,54.0,鮫島 良太,2:01.9,3,13-12,38.8,438,-8,杉山 佳明,13
13,14,8,13,マイスタイル,牡7,57.0,横山 典弘,2:02.8,5,1-1,41.1,466,+8,昆 貢,8
0,1,3,3,,牡3,55.0,松若 風馬,1:46.7,,6-5-4-3,35.4,466,-4,宮本 博,3
1,2,5,7,ショウナンマグマ,牡3,53.0,菅原 明良,1:46.9,3/4,1-1-1-1,36.1,506,+8,尾関 知人,8
2,3,1,1,サトノヘリオス,牡3,55.0,岩田 望来,1:46.9,クビ,8-8-9-7,35.3,460,-12,友道 康夫,2
3,4,7,11,ソネットフレーズ,牝3,54.0,津村 明秀,1:47.2,2,2-2-2-2,36.1,474,0,手塚 貴久,5
4,5,8,13,ゴーゴーユタカ,牡3,54.0,田辺 裕信,1:47.3,クビ,8-10-10-11,35.5,484,+8,武井 亮,7
5,6,5,6,ボーンディスウェイ,牡3,55.0,石橋 脩,1:47.3,アタマ,6-7-4-5,36.0,488,-2,牧 光二,1
6,7,2,2,ホウオウノーサイド,牡3,53.0,永野 猛蔵,1:47.3,クビ,12-12-12-11,35.2,466,+2,斎藤 誠,11
7,8,8,12,グランディア,牡3,54.0,坂井 瑠星,1:47.5,1,13-13-13-13,35.3,478,0,中内田 充正,6
8,9,7,10,ミッキーブンブン,牡3,52.0,菊沢 一樹,1:47.6,1/2,11-11-10-9,35.8,496,+2,菊沢 隆徳,12
9,10,4,4,オウケンボルト,牡3,52.0,M.デムーロ,1:47.6,クビ,3-3-3-3,36.4,454,+6,土田 稔,9
10,11,6,8,タガノフィナーレ,牝3,51.0,吉田 豊,1:47.7,クビ,8-8-7-7,36.2,478,-12,中村 直也,13
11,12,6,9,ベジャール,牡3,56.0,戸崎 圭太,1:48.0,2,3-3-4-5,36.7,564,0,田中 博康,4
12,13,4,5,クロスマジェスティ,牝3,53.0,内田 博幸,1:49.3,8,5-5-7-10,37.8,466,-6,水野 貴広,10
0,1,3,6,テーオーケインズ,牡4,57.0,松山 弘平,1:49.7,,5-5-6-6,35.5,498,+6,高柳 大輔,1
1,2,7,13,チュウワウィザード,牡6,57.0,戸崎 圭太,1:50.7,6,10-10-11-11,36.2,488,+4,大久保 龍志,3
2,3,6,11,アナザートゥルース,せん7,57.0,坂井 瑠星,1:50.8,3/4,3-3-3-3,36.8,482,-2,高木 登,14
3,4,2,4,インティ,牡7,57.0,武 豊,1:50.8,クビ,2-2-2-2,37.0,516,-10,野中 賢二,9
4,5,2,3,サンライズノヴァ,牡7,57.0,松若 風馬,1:51.0,1 1/4,13-13-13-13,36.3,534,-1,音無 秀孝,13
5,6,5,9,オーヴェルニュ,牡5,57.0,福永 祐一,1:51.1,アタマ,8-8-10-11,36.7,478,-2,西村 真幸,5
6,7,8,15,メイショウハリオ,牡4,57.0,浜中 俊,1:51.1,アタマ,11-12-11-8,36.6,508,-2,岡田 稲男,10
7,8,4,8,,牡6,57.0,松田 大作,1:51.3,1 1/4,15-15-13-13,36.6,486,+8,須貝 尚介,15
8,9,3,5,エアスピネル,牡8,57.0,藤岡 康太,1:51.4,3/4,8-8-7-8,37.1,486,+4,笹田 和秀,11
9,10,1,2,カジノフォンテン,牡5,57.0,M.デムーロ,1:51.7,2,5-5-3-5,37.8,532,-4,山下 貴之,7
10,11,8,16,,牡4,57.0,C.ルメール,1:51.7,ハナ,11-10-7-6,37.4,520,-4,堀 宣行,4
11,12,1,1,ソダシ,牝3,54.0,吉田 隼人,1:52.0,1 3/4,1-1-1-1,38.3,470,-4,須貝 尚介,2
12,13,5,10,ケイティブレイブ,牡8,57.0,内田 博幸,1:52.1,クビ,16-16-13-13,37.4,526,+3,清水 英克,16
13,14,6,12,クリンチャー,牡7,57.0,川田 将雅,1:52.4,2,7-7-7-8,38.1,498,+4,宮本 博,8
14,15,4,7,,牡4,57.0,幸 英明,1:52.6,3/4,3-3-3-3,38.7,554,+14,羽月 友彦,6
15,16,7,14,ダノンファラオ,牡4,57.0,横山 武史,1:54.2,10,13-13-16-16,38.8,538,-2,矢作 芳人,12
0,1,5,5,ギベオン,牡6,56.0,西村 淳也,2:01.8,,1-1-1-1,36.8,508,+8,藤原 英昭,10
1,2,1,1,デアリングタクト,牝4,55.0,松山 弘平,2:01.8,クビ,6-6-6-6,36.1,470,-4,杉山 晴紀,1
2,3,8,10,ポタジェ,牡4,56.0,北村 友一,2:01.9,1/2,3-3-3-3,36.4,464,0,友道 康夫,6
3,4,4,4,グローリーヴェイズ,牡6,57.0,川田 将雅,2:01.9,ハナ,3-3-4-3,36.4,468,+4,尾関 知人,2
4,5,7,7,キセキ,牡7,57.0,M.デムーロ,2:02.0,1/2,10-10-10-10,35.9,504,-12,辻野 泰之,3
5,6,2,2,サンレイポケット,牡6,56.0,秋山 真一郎,2:02.0,クビ,8-9-8-8,36.1,480,+8,高橋 義忠,7
6,7,8,9,サトノフラッグ,牡4,56.0,C.ルメール,2:02.2,1 1/4,2-2-2-2,36.9,498,-2,国枝 栄,5
7,8,7,8,ペルシアンナイト,牡7,57.0,大野 拓弥,2:02.6,2 1/2,7-7-7-6,36.9,500,0,池江 泰寿,8
8,9,6,6,ジナンボー,牡6,56.0,菱田 裕二,2:03.4,5,8-8-8-8,37.5,488,+2,堀 宣行,9
9,10,3,3,ブラヴァス,牡5,56.0,福永 祐一,2:03.6,1 1/2,3-3-4-3,38.1,492,+4,友道 康夫,4
0,1,3,6,アカイトリノムスメ,牝3,54.0,戸崎 圭太,1:33.3,,6-5,34.4,450,+4,国枝 栄,2
1,2,5,9,アールドヴィーヴル,牝3,54.0,松山 弘平,1:33.3,クビ,10-10,34.1,428,-18,今野 貞一,5
2,3,1,2,ククナ,牝3,54.0,C.ルメール,1:33.4,クビ,8-7,34.3,452,+2,栗田 徹,1
3,4,6,11,エイシンヒテン,牝3,54.0,団野 大成,1:33.5,3/4,1-1,35.1,440,-10,渡辺 薫彦,8
4,5,2,3,イズンシーラブリー,牝3,54.0,三浦 皇成,1:33.5,アタマ,12-11,34.2,430,-2,加藤 征弘,12
5,6,4,7,ステラリア,牝3,54.0,福永 祐一,1:33.6,1/2,14-15,34.1,476,0,斉藤 崇史,4
6,7,5,10,サルビア,牝3,54.0,横山 典弘,1:33.7,3/4,3-3,34.9,458,+4,鈴木 孝志,10
7,8,8,16,ハッピーオーサム,牝3,54.0,岩田 望来,1:33.9,1 1/4,13-14,34.5,472,-2,藤原 英昭,9
8,9,7,14,インフィナイト,牝3,54.0,北村 友一,1:34.0,1/2,2-2,35.3,496,+12,音無 秀孝,7
9,10,1,1,スライリー,牝3,54.0,石川 裕紀人,1:34.3,1 3/4,10-11,35.0,430,+6,相沢 郁,16
10,11,7,13,ミヤビハイディ,牝3,54.0,吉田 豊,1:34.5,1 1/2,8-7,35.4,474,-4,高橋 文雅,14
11,12,4,8,カイトゲニー,牝3,54.0,柴田 大知,1:34.6,クビ,3-3,35.8,484,+12,和田 雄二,11
12,13,2,4,リフレイム,牝3,54.0,木幡 巧也,1:34.6,1/2,5-5,35.7,490,+2,黒岩 陽一,3
13,14,3,5,メインターゲット,牝3,54.0,田辺 裕信,1:34.7,クビ,6-7,35.6,496,-4,杉浦 宏昭,15
14,15,6,12,カナリキケン,牝3,54.0,M.デムーロ,1:34.8,3/4,15-11,35.5,480,-2,竹内 正洋,13
15,16,8,15,レッジャードロ,牝3,54.0,藤田 菜七子,1:35.0,1 1/4,16-16,35.3,442,-4,戸田 博文,6
0,1,8,9,ナムラクレア,牝2,54.0,浜中 俊,1:07.9,,6-7,33.9,458,+4,長谷川 浩大,4
1,2,7,7,スリーパーダ,牝2,54.0,福永 祐一,1:08.3,2,6-6,34.2,404,+6,斉藤 崇史,3
2,3,8,10,アネゴハダ,牝2,54.0,幸 英明,1:08.5,1 1/4,9-9,34.2,446,+10,佐々木 晶三,8
3,4,5,5,デュガ,牡2,54.0,武 豊,1:08.6,1/2,2-3,34.9,484,+12,森 秀行,5
4,5,4,4,インプロバイザー,牡2,54.0,松若 風馬,1:08.6,アタマ,4-3,34.7,462,-10,音無 秀孝,2
5,6,7,8,ブレスレスリー,牝2,54.0,藤岡 康太,1:08.8,1 1/4,4-3,34.9,452,+18,藤岡 健一,7
6,7,3,3,ショウナンマッハ,牡2,54.0,松山 弘平,1:09.1,2,1-2,35.5,490,+2,茶木 太樹,1
7,8,6,6,エトワールジェンヌ,牝2,54.0,国分 優作,1:09.3,1,6-7,35.3,486,+8,清水 久詞,10
8,9,2,2,ソリッドグロウ,牝2,54.0,岩田 康誠,1:09.5,1,2-1,35.7,438,0,池上 昌和,6
9,10,1,1,シュンメキラリ,牝2,54.0,秋山 真一郎,1:10.0,3,10-10,35.5,476,0,牧田 和弥,9
0,1,7,8,トゥルボー,牡5,60.0,石神 深一,3:38.3,,6-7-3-2,13.2,512,-2,小笠 倫弘,3
1,2,4,4,サーブルオール,牡8,60.0,五十嵐 雄祐,3:38.8,3,4-4-2-1,13.3,490,-2,萩原 清,1
2,3,1,1,マーニ,牡5,61.0,西谷 誠,3:39.7,5,3-2-3-4,13.3,454,+8,鮫島 一歩,4
3,4,8,10,マイネルプロンプト,せん9,60.0,森 一馬,3:41.3,10,2-2-5-6,13.4,484,-2,坂口 智康,6
4,5,5,5,サトノファイター,牡5,60.0,黒岩 悠,3:41.6,1 1/2,1-1-1-2,13.4,480,0,高橋 亮,2
5,6,2,2,ハルクンノテソーロ,牡7,60.0,上野 翔,3:42.1,3,6-5-5-6,13.5,482,-2,和田 雄二,7
6,7,8,9,モサ,牡5,60.0,北沢 伸也,3:42.1,クビ,5-5-5-4,13.5,508,-4,角田 晃一,9
7,8,6,6,プレシャスタイム,牡8,60.0,高田 潤,3:42.5,2 1/2,10-10-9-9,13.5,450,+4,藤沢 則雄,10
8,9,3,3,フォイヤーヴェルク,牡8,60.0,白浜 雄造,3:42.6,3/4,8-8-8-8,13.5,470,+6,池江 泰寿,5
9,10,7,7,ハルキストン,牡6,60.0,中村 将之,3:42.9,1 3/4,9-9-10-10,13.5,466,+4,浅見 秀一,8
0,1,4,4,タイトルホルダー,牡3,56.0,横山 武史,2:02.0,,1-1-1-1,34.5,466,-4,栗田 徹,4
1,2,8,10,シュネルマイスター,牡3,56.0,C.ルメール,2:02.2,1 1/4,2-2-2-2,34.5,480,+6,手塚 貴久,2
2,3,2,2,ダノンザキッド,牡3,56.0,川田 将雅,2:02.3,クビ,5-5-5-4,34.2,512,-4,安田 隆行,1
3,4,7,8,ソーヴァリアント,牡3,56.0,大野 拓弥,2:02.5,1 1/2,7-7-6-6,34.2,498,-2,大竹 正博,8
4,5,3,3,テンバガー,牡3,56.0,M.デムーロ,2:02.5,クビ,3-4-3-4,34.6,512,+2,藤岡 健一,6
5,6,7,7,タイムトゥヘヴン,牡3,56.0,三浦 皇成,2:02.6,クビ,3-3-3-3,34.8,476,+4,戸田 博文,5
6,7,6,6,ワンデイモア,牡3,56.0,田辺 裕信,2:02.9,2,8-7-8-8,34.3,522,0,国枝 栄,3
7,8,1,1,ゴールデンシロップ,牡3,56.0,北村 宏司,2:03.6,4,6-6-6-7,35.4,524,-8,木村 哲也,7
8,9,5,5,ホウオウサンデー,牡3,56.0,岩田 康誠,2:03.8,1,10-10-10-10,34.7,450,-8,奥村 武,9
9,10,8,9,タイセイドリーマー,牡3,56.0,石橋 脩,2:04.1,1 3/4,8-9-8-9,35.5,492,+6,矢作 芳人,10
0,1,1,1,ロンドンプラン,牡2,54.0,松山 弘平,1:08.1,,13-13,33.1,498,-10,宮本 博,4
1,2,7,11,バレリーナ,牝2,54.0,団野 大成,1:08.2,3/4,6-5,34.6,456,+2,清水 久詞,9
2,3,8,13,シルフィードレーヴ,牝2,54.0,西村 淳也,1:08.3,1/2,9-9,34.2,436,+2,西園 正都,11
3,4,6,9,プロトポロス,牡2,54.0,福永 祐一,1:08.4,クビ,3-5,35.0,484,+8,西村 真幸,1
4,5,7,10,ゴールデンウィンド,牝2,54.0,坂井 瑠星,1:08.4,アタマ,3-2,35.0,458,-8,高柳 大輔,7
5,6,5,6,メイショウヒュウガ,牡2,54.0,北村 友一,1:08.6,1 1/4,9-9,34.6,478,+2,安達 昭夫,6
6,7,8,12,ウメムスビ,牡2,54.0,角田 大河,1:08.8,1 1/2,6-5,35.2,438,-2,新谷 功一,12
7,8,4,4,メイショウコギク,牝2,54.0,和田 竜二,1:08.9,3/4,3-2,35.5,424,0,南井 克巳,5
8,9,6,8,ニシノトキメキ,牝2,54.0,亀田 温心,1:09.1,1 1/4,2-2,35.8,466,+2,北出 成人,10
9,10,5,7,ミカッテヨンデイイ,牝2,54.0,今村 聖奈,1:09.3,1,11-11,34.9,408,-2,堀内 岳志,3
10,11,4,5,クリダーム,牡2,54.0,武 豊,1:09.4,3/4,1-1,36.2,478,+10,須貝 尚介,2
11,12,2,2,アウクソー,牝2,54.0,横山 典弘,1:09.4,ハナ,6-5,35.8,410,-2,安田 隆行,8
12,13,3,3,ゴーツウキリシマ,牝2,54.0,富田 暁,1:10.1,4,11-11,35.7,442,-2,牧田 和弥,13
0,1,6,11,ファインルージュ,牝3,54.0,福永 祐一,1:58.2,,6-6-6-5,34.2,496,+2,岩戸 孝樹,2
1,2,1,1,スルーセブンシーズ,牝3,54.0,大野 拓弥,1:58.5,1 3/4,9-9-9-10,34.3,430,+2,尾関 知人,4
2,3,2,3,ミスフィガロ,牝3,54.0,津村 明秀,1:58.5,ハナ,11-11-12-12,33.9,416,+8,友道 康夫,12
3,4,3,6,シャーレイポピー,牝3,54.0,鮫島 克駿,1:58.6,1/2,3-3-3-3,34.8,430,0,石坂 公一,16
4,5,1,2,トウシンモンブラン,牝3,54.0,三浦 皇成,1:58.7,クビ,6-6-6-7,34.7,480,+2,杉山 晴紀,13
5,6,4,8,メイサウザンアワー,牝3,54.0,石橋 脩,1:58.9,1 1/4,5-3-3-5,35.1,498,+4,尾関 知人,3
6,7,8,17,ホウオウラスカーズ,牝3,54.0,横山 和生,1:58.9,ハナ,11-11-11-10,34.4,448,-2,高木 登,7
