,着順,枠,馬番,馬名,性齢,負担重量,騎手名,タイム,着差,コーナー週過順位,推定上がり,馬体重,馬体重(増減),調教師名,単勝人気
8,9,1,2,エングレーバー,牡5,54.0,浜中 俊,1:08.6,ハナ,14-10,33.9,450,+8,中内田 充正,8
9,10,8,18,ボンボヤージ,牝4,52.0,岩田 望来,1:08.7,1/2,6-6,34.8,446,0,梅田 智之,7
10,11,4,8,メイショウケイメイ,牝5,51.0,藤懸 貴志,1:08.7,クビ,17-16,33.9,440,+4,南井 克巳,16
11,12,2,4,ノーワン,牝5,53.0,川又 賢治,1:08.8,1/2,14-16,34.2,482,+4,杉山 佳明,10
12,13,5,10,メイショウカリン,牝7,51.0,酒井 学,1:08.9,1/2,14-16,34.2,510,0,笹田 和秀,14
13,14,6,11,アウィルアウェイ,牝5,55.5,松山 弘平,1:09.0,クビ,12-14,34.6,502,+12,高野 友和,3
14,15,2,3,コンパウンダー,牡6,53.0,荻野 極,1:09.2,1 1/4,17-14,34.3,464,+2,石橋 守,17
15,16,7,15,,牡6,54.0,斎藤 新,1:09.2,ハナ,9-9,35.1,480,+8,藤岡 健一,13
16,17,7,13,ファンタジステラ,牡7,54.0,藤井 勘一郎,1:09.2,クビ,3-3,35.4,428,-6,音無 秀孝,15
17,18,3,5,ロジクライ,牡8,56.0,秋山 真一郎,1:09.3,1/2,10-10,35.1,532,+6,須貝 尚介,18
0,1,2,2,エリカヴィータ,牝3,54.0,田辺 裕信,2:00.4,,4-4-4,34.0,442,+4,国枝 栄,5
1,2,2,3,パーソナルハイ,牝3,54.0,吉田 豊,2:00.5,3/4,1-1-1,34.9,456,-2,矢作 芳人,4
2,3,8,14,シンシアウィッシュ,牝3,54.0,M.デムーロ,2:00.5,ハナ,2-2-2,34.5,428,-4,吉村 圭司,9
3,4,4,6,マイシンフォニー,牝3,54.0,武 豊,2:00.8,1 3/4,6-6-6,34.2,460,-4,松永 幹夫,6
4,5,1,1,ルージュエヴァイユ,牝3,54.0,戸崎 圭太,2:00.8,クビ,12-11-11,33.6,444,-6,黒岩 陽一,3
5,6,5,9,ラスール,牝3,54.0,C.ルメール,2:00.9,1/2,7-6-7,34.2,474,+2,宮田 敬介,2
6,7,6,10,ホウオウバニラ,牝3,54.0,横山 和生,2:01.2,2,11-11-11,34.0,416,-10,安田 翔伍,7
7,8,5,8,キタサンシュガー,牝3,54.0,大野 拓弥,2:01.3,1/2,8-8-8,34.4,448,+2,清水 久詞,8
8,9,8,15,ヴァンルーラー,牝3,54.0,藤岡 佑介,2:01.3,ハナ,10-8-8,34.4,440,-4,吉岡 辰弥,12
9,10,3,4,ストキャスティーク,牝3,54.0,石川 裕紀人,2:01.4,1/2,15-14-13,33.9,446,0,大竹 正博,11
10,11,3,5,エバーハンティング,牝3,54.0,内田 博幸,2:01.5,1/2,12-13-13,34.0,410,-2,小島 茂之,13
11,12,4,7,ゴールデンアワー,牝3,54.0,横山 武史,2:01.6,1/2,8-8-8,34.6,490,+4,加藤 士津八,10
